"word","freq"
"fresh",26
"like",23
"great",21
"afford",16
"well",10
"modern",8
"win",8
"thank",7
"free",7
"worth",6
"love",6
"perfect",6
"good",6
"wow",5
"right",5
"hot",4
"master",4
"prize",4
"nice",4
"work",4
"success",3
"enjoy",3
"stylish",3
"excel",3
"support",2
"proper",2
"better",2
"popular",2
"reclaim",2
"golden",2
"fun",2
"proud",2
"best",2
"wonder",2
"rich",2
"quiet",2
"ideal",2
"charm",2
"top",1
"cheaper",1
"pros",1
"smart",1
"tempt",1
"spacious",1
"cool",1
"won",1
"sweet",1
"gem",1
"cute",1
"faster",1
"spectacular",1
"easier",1
"fav",1
"trump",1
"solid",1
"luck",1
"tough",1
"premier",1
"cheapest",1
"gorgeous",1
