"nodes","group","size"
"adargueta","en",0.488126649076517
"Aetna","en",20
"Akshaye00","en",0.294195250659631
"akula06","en",0.127968337730871
"andrevautour","en",7.91688654353562
"arielwallacee","en",0.226912928759894
"Autummmnnn19","en",0.592348284960422
"Ayan604","en",3.35356200527704
"baileycrayola","en",0.258575197889182
"biblerocket","en",0.45910290237467
"Boeing","en",20
"breather","en",15.6622691292876
"Coachtimoriedo","en",0.236147757255937
"cometyang","en",0.0356200527704486
"conormacd","en",0.300791556728232
"devonsellssd","en",0.0646437994722955
"dmi3k","en",0.37467018469657
"ebsolomont","en",1.59630606860158
"enerscore","en",0.229551451187335
"eoinbrazil","en",2.44459102902375
"FHowgill","en",0.275725593667546
"FrankVeezy","en",0.0277044854881266
"fundrise","en",11.9419525065963
"FundThatFlip","en",4.23614775725594
"geekestate","en",2.03693931398417
"georgigrant","en",0.693931398416887
"GuillaumeWibaux","fr",0.0633245382585752
"hamanju","en",0.137203166226913
"Homelyau","en",6.64248021108179
"HowLoudInc","en",0.121372031662269
"hrabiaKent","en",2.51451187335092
"imrahulrai","en",0.186015831134565
"JessicaAlberg","en",0.0554089709762533
"Jonahkingchurch","en",0.536939313984169
"kaggle","en",20
"kensands","en",3.10290237467018
"LoganMohtashami","en",3.23878627968338
"madbad","en",0.45910290237467
"maryldelzell","en",0.33377308707124
"maxpagels","en",0.170184696569921
"MetaPropNYC","en",3.04617414248021
"MIPIMPropTech","en",0.531662269129288
"mysunnumber","en",0.211081794195251
"nestio","en",1.82189973614776
"NewLegacyWealth","en",0.16754617414248
"NooksList","en",8.54617414248021
"npdodge","en",5.40765171503958
"PhilaOrganizer","en",1.25725593667546
"prasannavsn92","en",2.18733509234829
"prdgm","en",2.05540897097625
"RachelleFelzien","en",0.211081794195251
"raumunz","es",1.9353562005277
"realtordotcom","en",20
"RealtyJcfrancis","es",15.8891820580475
"Redfin","en",20
"saragoldrickrab","en",20
"SaviMaker","en",0.0382585751978892
"SFPropertyForce","en",0.0738786279683377
"soulcycle","en",20
"spencerrascoff","en",20
"stephcd","en",13.8588390501319
"Storefront","en",20
"stuckonstupidd","en",0.635883905013193
"SvenjaGudell","en",1.55013192612137
"tbradleybanta","en",11.2717678100264
"tonysnark","en",0.742744063324538
"UtilityScore","en",0.368073878627968
"valdesalexiss","en",0.325857519788918
"vinceg55","en",3.93007915567282
"WalkerHomes2017","en",2.89973614775726
"walkscore","en",12.3786279683377
"WashingtonIdeas","en",0.228232189973615
"WDCEP","en",7.06992084432718
"willy1inch","en",0.08311345646438
"zillow","en",20
"zillowm","en",0
