"tweet_text","lon","lat","Time","score","Category"
"The POWER of live streaming as a #RealEstate #entrepreneur. #SocialMedia #realtor https://t.co/yLg0Qbc9QH #success #realestate",-81.3792365,28.5383355,2017-08-31 23:59:46,1,"positive"
"Train, Score, Repeat, Watch Out! Zillow's Andrew Martin on modeling pitfalls in a dynamic world. https://t.co/Uu7r4p0RCE",-71.0588801,42.3600825,2017-08-31 23:59:26,1,"positive"
"Maybe https://t.co/hc2B165Shg",-77.0368707,38.9071923,2017-08-31 23:57:48,0,"neutral"
"Check out this 3bd 4.0ba 4934 sqft home at 82236 Hillview Dr that I found on #Zillow https://t.co/MxO6lj7erX",-123.0867536,44.0520691,2017-08-31 23:57:22,0,"neutral"
"Baby  . . . It's to late!
With in (5) days  we received (4) exceptional offers.  Needless to say NO Professional... https://t.co/DriVRysko4",-74.029843,40.2479729,2017-08-31 23:56:26,0,"neutral"
"Monday Morning Cup of Coffee: US News including Zillow claims Zestimates now more accurate than ever https://t.co/cTa8jMDIrp #yycre #yychome",-114.0708459,51.0486151,2017-08-31 23:54:01,1,"positive"
"Baby  . . . It's to late!
With in (5) days  we received (4) exceptional offers.  Needless to say NO Professional... https://t.co/wojVApJMXA",-74.029843,40.2479729,2017-08-31 23:53:31,0,"neutral"
"3 Reasons Painting Your Wood Floors Is Not as Crazy as You Think https://t.co/TXu8JevfCt",-84.3867961,33.7590037,2017-08-31 23:50:26,-1,"negative"
"I spent a lot of my day looking at expensive homes on zillow.",-120.4357191,34.9530337,2017-08-31 23:48:40,-1,"negative"
"We are looking for a Senior Technical Recruiter at Zillow Group. If interested contact me and fil...
https://t.co/HoCiao1X1e #job",-122.4194155,37.7749295,2017-08-31 23:46:10,0,"neutral"
"<ed><U+00A0><U+00BC><ed><U+00BF><U+00A1>Just Listed for Sale https://t.co/gViaTON8dd",-81.8224362,39.6521907,2017-08-31 23:42:35,0,"neutral"
"This elevated Shore Acres home is ready &amp; waiting for a new owner to enjoy it's open floor plan &amp; updates. https://t.co/cwkUp48O9K",-82.6267345,27.7518284,2017-08-31 23:40:09,1,"positive"
"Check out this great #Clearwater Listing! https://t.co/3zq7S44NUN",-82.8001026,27.9658533,2017-08-31 23:37:03,1,"positive"
"29379 Milford Ct, Menifee, CA 92584 | MLS #SW17201464 | Zillow https://t.co/VbefPd47xC",-119.4179324,36.778261,2017-08-31 23:35:19,0,"neutral"
