"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"The POWER of live streaming as a #RealEstate #entrepreneur. #SocialMedia #realtor https://t.co/yLg0Qbc9QH #success #realestate",FALSE,8,NA,2017-08-31 23:59:46,FALSE,NA,"903406993045676032",NA,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>","TheOperaCEO",1,FALSE,FALSE,NA,NA,"Orlando, FL","en","http://pbs.twimg.com/profile_images/901893016490795009/UkHDHhbe_normal.jpg"
"Train, Score, Repeat, Watch Out! Zillow's Andrew Martin on modeling pitfalls in a dynamic world. https://t.co/Uu7r4p0RCE",FALSE,1,NA,2017-08-31 23:59:26,FALSE,NA,"903406910711455745",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","InnovArch",1,FALSE,FALSE,NA,NA,"Boston, MA","en","http://pbs.twimg.com/profile_images/820810920674721793/lINp6_1k_normal.jpg"
"Maybe https://t.co/hc2B165Shg",FALSE,0,NA,2017-08-31 23:57:48,FALSE,NA,"903406499350884356",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JWGreen_",0,FALSE,FALSE,NA,NA,"District of Columbia, USA","en","http://pbs.twimg.com/profile_images/614432706752040960/4PcoRj9O_normal.jpg"
"Check out this 3bd 4.0ba 4934 sqft home at 82236 Hillview Dr that I found on #Zillow https://t.co/MxO6lj7erX",FALSE,0,NA,2017-08-31 23:57:22,FALSE,NA,"903406391032922113",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SherriSmithHome",0,FALSE,FALSE,NA,NA,"Eugene, Oregon","en","http://pbs.twimg.com/profile_images/718511584658661376/JGWXWVxw_normal.jpg"
"Baby  . . . It's to late!
With in (5) days  we received (4) exceptional offers.  Needless to say NO Professional... https://t.co/DriVRysko4",FALSE,0,NA,2017-08-31 23:56:26,FALSE,NA,"903406154692354049",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","LISARAIMONDO",0,FALSE,FALSE,NA,NA,"Ocean, NJ USA","en","http://pbs.twimg.com/profile_images/633754223994232833/h26YC2XX_normal.jpg"
"Would you ever buy a home sight unseen? Here’s what one long-distance home buyer learned: https://t.co/fKffz8vwiT https://t.co/DVynJYjFm6",FALSE,6,NA,2017-08-31 23:56:03,FALSE,NA,"903406057124495360",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","zillow",4,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/732338824936751104/vJX0_tQy_normal.jpg"
"Monday Morning Cup of Coffee: US News including Zillow claims Zestimates now more accurate than ever https://t.co/cTa8jMDIrp #yycre #yychome",FALSE,0,NA,2017-08-31 23:54:01,FALSE,NA,"903405545473835008",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","realoffice360",0,FALSE,FALSE,NA,NA,"Calgary, Alberta","en","http://pbs.twimg.com/profile_images/872896797538004992/z1xRoQbb_normal.jpg"
"Baby  . . . It's to late!
With in (5) days  we received (4) exceptional offers.  Needless to say NO Professional... https://t.co/wojVApJMXA",FALSE,1,NA,2017-08-31 23:53:31,FALSE,NA,"903405422379487232",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","LISARAIMONDO",0,FALSE,FALSE,NA,NA,"Ocean, NJ USA","en","http://pbs.twimg.com/profile_images/633754223994232833/h26YC2XX_normal.jpg"
"3 Reasons Painting Your Wood Floors Is Not as Crazy as You Think https://t.co/TXu8JevfCt",FALSE,0,NA,2017-08-31 23:50:26,FALSE,NA,"903404647100149761",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PrudentialGARE",0,FALSE,FALSE,NA,NA,"Metro Atlanta","en","http://pbs.twimg.com/profile_images/378800000767810869/f560f11e04699b4c80746609d24b4118_normal.jpeg"
"I spent a lot of my day looking at expensive homes on zillow.",FALSE,2,NA,2017-08-31 23:48:40,FALSE,NA,"903404199269900288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CraigLodes",0,FALSE,FALSE,NA,NA,"Santa Maria, CA","en","http://pbs.twimg.com/profile_images/888978072782983168/UCTeqItH_normal.jpg"
"We are looking for a Senior Technical Recruiter at Zillow Group. If interested contact me and fil...
https://t.co/HoCiao1X1e #job",FALSE,0,NA,2017-08-31 23:46:10,FALSE,NA,"903403572292923392",NA,"<a href=""http://jobvite.com"" rel=""nofollow"">Jobvite</a>","BrienMaloney",0,FALSE,FALSE,NA,NA,"San Francisco","en","http://pbs.twimg.com/profile_images/847503844510543873/29po6vd6_normal.jpg"
"@rackerz_ Get the zillow app!",FALSE,2,"rackerz_",2017-08-31 23:43:31,FALSE,"903389244219064320","903402906048540672","1917875300","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rachael_maelia",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/902164186850922496/DPDni4ft_normal.jpg"
"<ed><U+00A0><U+00BC><ed><U+00BF><U+00A1>Just Listed for Sale https://t.co/gViaTON8dd",FALSE,0,NA,2017-08-31 23:42:35,FALSE,NA,"903402668340719616",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","RealtorCinda",0,FALSE,FALSE,NA,NA,"Morgan County, Ohio","en","http://pbs.twimg.com/profile_images/584187882690215936/kidtJRRV_normal.jpg"
"This elevated Shore Acres home is ready &amp; waiting for a new owner to enjoy it's open floor plan &amp; updates. https://t.co/cwkUp48O9K",FALSE,0,NA,2017-08-31 23:40:09,FALSE,NA,"903402055594889216",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","ChrisHounchell",0,FALSE,FALSE,NA,NA,"St Petersburg, FL. ","en","http://pbs.twimg.com/profile_images/378800000056476955/45e956afca4e51d62b9abf88b10cf9a0_normal.jpeg"
"Check out this great #Clearwater Listing! https://t.co/3zq7S44NUN",FALSE,0,NA,2017-08-31 23:37:03,FALSE,NA,"903401279053070341",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","OJMortgageCo",0,FALSE,FALSE,NA,NA,"Clearwater, FL","en","http://pbs.twimg.com/profile_images/566202562890584064/l_ABSlEY_normal.jpeg"
